# v3.5 Feature List
# 설명: Hybrid Top150 + v3 커스텀 파생변수 6개 사용,
#       XGBoost(depth=6, class-weight) 구조의 입력 피처 스냅샷
# source=CUSTOM_FE_v3   : 우리가 설계한 v3 전용 파생변수 6개
# source=HYBRID_TOP150  : top150_final(중요도 랭킹) 기반 원본 피처
# source=UNKNOWN        : 위 두 그룹에 속하지 않는 컬럼(있으면 점검 필요)

feature_name	source
이용금액대	HYBRID_TOP150
정상청구원금_B5M	HYBRID_TOP150
이용금액_R3M_신용체크	HYBRID_TOP150
이용금액_오프라인_R3M	HYBRID_TOP150
이용금액_오프라인_B0M	HYBRID_TOP150
정상청구원금_B2M	HYBRID_TOP150
정상청구원금_B0M	HYBRID_TOP150
이용건수_신용_R12M	HYBRID_TOP150
최대이용금액_일시불_R12M	HYBRID_TOP150
이용금액_일시불_R12M	HYBRID_TOP150
연속유실적개월수_기본_24M_카드	HYBRID_TOP150
이용건수_신판_R12M	HYBRID_TOP150
이용건수_오프라인_R6M	HYBRID_TOP150
_2순위쇼핑업종_이용금액	HYBRID_TOP150
평잔_일시불_6M	HYBRID_TOP150
이용개월수_신용_R12M	HYBRID_TOP150
이용개월수_신판_R12M	HYBRID_TOP150
이용금액_일시불_R6M	HYBRID_TOP150
_2순위업종_이용금액	HYBRID_TOP150
이용건수_일시불_R6M	HYBRID_TOP150
이용후경과월_CA	HYBRID_TOP150
이용개월수_일시불_R12M	HYBRID_TOP150
이용건수_일시불_R12M	HYBRID_TOP150
OS구분코드	HYBRID_TOP150
이용건수_신판_B0M	HYBRID_TOP150
소지카드수_유효_신용	HYBRID_TOP150
이용금액_R3M_신용	HYBRID_TOP150
이용건수_신용_R6M	HYBRID_TOP150
이용건수_신용_B0M	HYBRID_TOP150
월상환론한도금액	HYBRID_TOP150
이용건수_오프라인_R3M	HYBRID_TOP150
유효카드수_신용체크	HYBRID_TOP150
청구금액_R3M	HYBRID_TOP150
이용가맹점수	HYBRID_TOP150
이용건수_신판_R6M	HYBRID_TOP150
이용금액_일시불_B0M	HYBRID_TOP150
쇼핑_슈퍼마켓_이용금액	HYBRID_TOP150
이용금액_일시불_R3M	HYBRID_TOP150
평잔_6M	HYBRID_TOP150
이용건수_일시불_B0M	HYBRID_TOP150
카드이용한도금액_B2M	HYBRID_TOP150
_3순위업종_이용금액	HYBRID_TOP150
이용건수_오프라인_B0M	HYBRID_TOP150
최종카드론이용경과월	HYBRID_TOP150
이용개월수_신판_R3M	HYBRID_TOP150
_3순위쇼핑업종_이용금액	HYBRID_TOP150
변동률_RVCA평잔	HYBRID_TOP150
연체입금원금_B0M	HYBRID_TOP150
카드이용한도금액_B1M	HYBRID_TOP150
_1순위카드이용건수	HYBRID_TOP150
_1순위쇼핑업종_이용금액	HYBRID_TOP150
이용금액_오프라인_R6M	HYBRID_TOP150
카드이용한도금액	HYBRID_TOP150
연체입금원금_B2M	HYBRID_TOP150
이용후경과월_할부_무이자	HYBRID_TOP150
이용개월수_일시불_R3M	HYBRID_TOP150
쇼핑_도소매_이용금액	HYBRID_TOP150
_1순위교통업종_이용금액	HYBRID_TOP150
_1순위여유업종	HYBRID_TOP150
소지카드수_이용가능_신용	HYBRID_TOP150
이용개월수_오프라인_R6M	HYBRID_TOP150
이용개월수_결제일_R3M	HYBRID_TOP150
이용건수_일시불_R3M	HYBRID_TOP150
이용건수_신용_R3M	HYBRID_TOP150
입회일자_신용	HYBRID_TOP150
청구금액_R6M	HYBRID_TOP150
이용여부_3M_해외겸용_본인	HYBRID_TOP150
최종이용일자_할부	HYBRID_TOP150
연체입금원금_B5M	HYBRID_TOP150
유효카드수_신용	HYBRID_TOP150
이용금액_할부_R12M	HYBRID_TOP150
입회경과개월수_신용	HYBRID_TOP150
월중평잔_일시불	HYBRID_TOP150
